NoOfWorkers,GraphClass time (s),GraphFrame time (s),Dataset
6,0.10418510437011719,16.647297143936157,DE
6,0.05588173866271973,2.6014223098754883,ENGB
5,0.10746145248413086,14.523574590682983,DE
5,0.059081315994262695,1.786609172821045,ENGB
4,0.10797381401062012,14.898767232894897,DE
4,0.04219651222229004,1.8270833492279053,ENGB
3,0.10739398002624512,13.46754503250122,DE
3,0.05337810516357422,2.6858091354370117,ENGB
3,0.10493016242980957,13.39498257637024,DE
3,0.035001277923583984,2.3953096866607666,ENGB
3,0.1059575080871582,13.610064268112183,DE
3,0.0544133186340332,2.318774461746216,ENGB
2,0.10671496391296387,11.544317722320557,DE
2,0.03432583808898926,1.4732680320739746,ENGB
