NoOfWorkers,GraphClass time (s),GraphFrame time (s),Dataset
2,0.000423431396484375,37.88420820236206,ENGB
3,0.0003943443298339844,32.59935522079468,ENGB
5,0.0004055500030517578,36.94925403594971,ENGB
6,0.0004177093505859375,27.606682062149048,ENGB
2,0.016211986541748047,27.954243659973145,DE
3,0.012290716171264648,16.822822332382202,DE
4,0.012469768524169922,15.371482372283936,DE
6,0.012729883193969727,17.13811993598938,DE

5,0.019950389862060547,15.282100439071655,DE
4,0.012637615203857422,15.928509712219238,DE
