NoOfWorkers,GraphClass time (s),GraphFrame time (s)

2,1.430511474609375e-06,29.846829891204834
3,1.430511474609375e-06,19.2566659450531
5,9.5367431640625e-07,19.41680598258972
6,1.1920928955078125e-06,14.647715330123901
